Post_num,Followers
236,8603
128,3360
741,6928
2178,2.7만
606,1020
223,8787
5861,131.1만
395,1.9만
379,4.4만
538,251
124,1264
2352,663
5877,1717
152,333
23,256
9,53
235,146
190,26
113,658
137,65
0,0
1017,2662
57,48
7,50
168,485
753,881
255,1793
194,1117
764,740
574,800
67,245
381,273
508,925
1051,1428
64,30
104,3355
93,1001
10,0
387,588
436,270
101,78
1457,344
537,782
1659,7177
597,3302
965,4666
853,533
872,1445
5,5
871,938
1196,305
694,138
291,660
21,1320
2855,2132
17,34
43,20
2516,1570
7,37
24,530
54,17
43,3507
244,2721
162,55
3,0
267,785
3370,1321
83,608
2395,1005
49,2365
182,1243
8,191
392,5195
3756,3923
44,569
1125,1196
1337,1588
352,294
52,93
233,808
618,391
375,113
1965,1377
22,94
237,197
5,12
145,228
417,1946
1259,736
311,5460
25,113
1223,1654
129,720
716,617
325,651
629,336
99,198
3449,5357
493,943
418,947
0,0
221,191
33,806
540,95
30,8
548,1533
36,6
36,7
899,2523
203,462
386,2.2만
36,2
188,133
907,1084
646,956
61,1177
8,13
6,49
103,863
54,162
383,156
78,0
7379,4131
441,361
262,2054
30,15
350,1만
36,11
0,0
36,12
2628,2747
36,9
36,21
120,1268
3,12
45,20
786,6833
495,4.8만
102,814
347,145
131,74
65,1474
123,455
140,119
7,6
5,1
27,22
35,75
727,348
1635,339
86,102
241,221
1452,201
30,73
116,379
360,345
45,18
1062,1093
45,12
2218,586
45,100
151,3542
2613,4528
547,233
32,473
32,863
1207,5282
32,41
450,1210
785,3230
2594,2022
11,32
46,30
104,2033
861,302
2196,1101
2808,5895
23,66
77,2
8,68
4,30
352,257
4,6
46,653
1239,2.8만
189,1375
67,73
927,143
87,50
661,1327
240,1604
46,1009
55,223
687,2153
225,350
234,4718
819,6901
260,3587
320,4127
13,502
417,3523
250,2303
266,1795
22,210
266,2791
324,2761
312,2623
324,2485
36,54
330,2698
270,2932
71,224
259,2768
305,2774
350,3604
356,3816
331,3056
389,702
329,3688
342,3428
354,3520
132,2057
1441,1463
88,95
1815,266
11,457
336,3520
359,359
10,63
7461,5.7만
5,2
9311,1.1만
192,9691
231,665
529,71
136,293
93,77
92,36
20,207
649,1.5만
165,5287
71,15
383,280
297,422
256,910
22,19
8314,3739
120,57
277,126
117,2103
35,188
624,410
120,96
1718,8393
226,1450
1217,3593
80,588
38,176
2,17
1558,3520
139,1.5만
66,957
1.8만,42.9만
96,16
277,117
82,55
219,118
507,772
21,518
9,1
1042,4032
348,87
1900,226
733,76
0,0
2187,474
55,93
1169,695
5215,2717
59,2194
83,9512
265,52
40,4161
516,1842
4460,385
402,3.7만
949,692
954,337
183,1290
344,1391
4327,5734
9,119
4863,4949
248,308
279,3855
362,167
22,5
648,1.4만
71,68
1562,2.9만
2743,723
943,2979
0,0
304,3692
75,61
2872,793
1254,2159
3,51
4,0
14,17
5,1
471,2515
7,1053
0,0
4,1
1701,1407
764,10.3만
223,330
126,155
761,2856
4,15
68,67
64,34
35,714
617,5509
147,112
0,0
15,3
71,104
473,1983
46,1
165,962
33,1
1624,1516
33,7
33,7
33,7
33,23
231,528
114,18
254,63
1,55
1030,373
95,103
85,75
1372,1만
463,166
98,179
0,0
387,778
442,7366
241,76
168,45
349,250
41,697
33,7
33,0
33,2
33,19
33,4
33,2
33,3
33,3
99,604
78,28
25,5746
10,99
1784,1526
4,9
3259,343
18,142
275,201
831,1.1만
59,803
277,1751
443,4113
459,1486
30,21
700,2943
69,137
95,1038
63,979
91,805
356,5048
116,1142
50,77
394,1955
296,287
164,380
14,4
0,0
15,94
3063,5461
33,428
13,217
3163,2379
11,607
171,202
225,940
30,63
524,250
1098,365
194,124
238,126
801,108
287,219
22,57
603,3627
924,1206
25,69
707,617
37,25
1503,5287
42,44
374,9367
20,70
25,41
128,2358
1160,1229
183,69
210,130
1044,2209
566,1414
32,21
107,62
1811,1608
53,839
94,90
993,1.9만
87,652
161,236
43,176
1111,5만
183,1.3만
2187,2869
178,659
1461,1.2만
463,258
12,0
0,0
16,6
3,30
1246,3.4만
78,29
126,149
107,67
1.2만,5987
561,849
6175,4784
7669,8863
178,161
117,75
631,1289
4,64
8,3
68,3443
4,3
211,584
8,355
608,1401
842,788
77,1003
2928,4163
17,139
647,325
13,191
8,2
2295,438
4346,2161
4,2
50,59
28,855
182,2644
20,51
27,64
104,59
60,0
232,275
595,1063
128,20
1106,1303
565,270
143,22
118,6938
725,303
1449,854
2,25
43,23
3,0
362,1175
151,962
49,29
25,96
8,389
1.3만,5252
328,22
2910,2821
89,2777
544,75
557,2420
2683,875
145,302
172,956
524,1750
1516,1009
1,5
6,289
234,293
2410,1679
302,3427
334,214
105,19
2812,662
247,2563
669,931
109,7338
35,23
986,457
3294,1490
219,408
140,40
791,763
8,2
346,1157
286,286
1171,1094
36,203
199,886
952,490
274,196
1116,1072
5055,1599
2472,7.1만
1145,2293
847,164
5457,520
8,11
1722,435
205,6797
147,46
17,1036
10,14
177,393
118,137
2828,5030
32,122
115,1059
34,3414
1675,2201
72,1716
1158,825
2.4만,2380
178,180
560,3208
508,174
759,85
974,649
492,6060
821,896
434,6102
264,212
1만,3376
1100,3776
320,150
363,1335
2340,507
323,423
171,193
43,2189
300,49
1.2만,1.3만
64,29
50,40
473,654
97,1345
338,1033
510,910
3094,1502
52,374
157,2170
345,239
609,667
621,131
128,144
58,310
621,599
27,2
49,457
2522,2035
6,68
411,842
113,250
55,4614
18,191
38,39
341,1842
146,162
3276,5279
209,291
831,1720
6852,2217
31,547
1469,621
2387,1.7만
169,203
598,144
275,520
2701,3.9만
784,128
550,591
2531,4379
2250,345
567,679
134,264
932,862
1888,6598
28,171
55,364
625,5081
59,946
150,47
737,386
2179,1304
874,429
29,524
64,10
26,43
917,1만
